prop_price,prop_title,prop_location,prop_size
"97,000 OMR",For sale at Muscat hills 2 bedrooms apartment 135 Sqm ready to move,"Muscat, Muscat Hills",For sale at Muscat hills 2 bedrooms apartment 135 Sqm ready to move
"52,500 OMR",138 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",138 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"23,000 OMR",محل للبيع في المعبيلة مساحة 27.5 قريب من مطعم الشيف السعودي ومول مسقط بالاقساط علي 30 شهر,"Muscat, Al Maabilah",محل للبيع في المعبيلة مساحة 27.5 قريب من مطعم الشيف السعودي ومول مسقط بالاقساط علي 30 شهر
"8,500 OMR",Residential Land for Sale in Al Sharqiya Al Kamil and Al Waafi,"Al Sharqiya, Al Kamil and Al Waafi",Residential Land for Sale in Al Sharqiya Al Kamil and Al Waafi
"58,000 OMR",269 m2 4 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",269 m2 4 Bedrooms Villa for Sale in Al Batinah Barka
"24,000 OMR",64 m2 Studio Apartments for Sale in Muscat Al-Hail,"Muscat, Al-Hail",64 m2 Studio Apartments for Sale in Muscat Al-Hail
"15,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"5,300 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"11,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"30,000 OMR",147 m2 3 Bedrooms Townhouse for Sale in Muscat Ruwi,"Muscat, Ruwi",147 m2 3 Bedrooms Townhouse for Sale in Muscat Ruwi
"21,500 OMR",65 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",65 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah
"19,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"25,500 OMR",Residential Land for Sale in Muscat Misfah,"Muscat, Misfah",Residential Land for Sale in Muscat Misfah
"45,000 OMR",106 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",106 m2 2 Bedrooms Apartments for Sale in Muscat Ghala
"36,655 OMR",محل تجاري للبيع في موقع مميز وفرصة استثمارية عالية وفريدة في مرتفعات غلا,"Muscat, Ghala",محل تجاري للبيع في موقع مميز وفرصة استثمارية عالية وفريدة في مرتفعات غلا
"48,500 OMR",مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"Muscat, Ghala",مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات
"34,000 OMR","محل تجاري للبيع خلف بانوراما مول, موقع استراتيجي وعائد استثماري عالي وفرصة مميزة لا تدع الفرصة تفوتك","Muscat, Ghubrah","محل تجاري للبيع خلف بانوراما مول, موقع استراتيجي وعائد استثماري عالي وفرصة مميزة لا تدع الفرصة تفوتك"
"26,000 OMR",محلات للبيع في الموالح بسعر ممتاز بالتقسيط - مشروع الزاهرة,"Muscat, Seeb",محلات للبيع في الموالح بسعر ممتاز بالتقسيط - مشروع الزاهرة
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"155,000 OMR",378 m2 4 Bedrooms Villa for Sale in Muscat Qurm,"Muscat, Qurm",378 m2 4 Bedrooms Villa for Sale in Muscat Qurm
"35,000 OMR",112 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",112 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"96,900 OMR",350 m2 5 Bedrooms Villa for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",350 m2 5 Bedrooms Villa for Sale in Muscat Al Mawaleh
"11,500 OMR",صالون وبوتيك مندمجين للبيع,"Al Dakhiliya, Bahla",صالون وبوتيك مندمجين للبيع
"7,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"18,000 OMR",61 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",61 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah
"38,000 OMR",53 m2 1 Bedroom Apartments for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",53 m2 1 Bedroom Apartments for Sale in Muscat Madinat As Sultan Qaboos
