prop_price,prop_title,prop_location,prop_size
"10,500 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"92,000 OMR",355 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",355 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah
"38,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"4,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"19,500 OMR",Residential Land for Sale in Muscat Halban,"Muscat, Halban",Residential Land for Sale in Muscat Halban
"81,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"130,000 OMR",Commercial Land for Sale in Muscat Amerat,"Muscat, Amerat",Commercial Land for Sale in Muscat Amerat
"7,500 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"5,500 OMR",Running Coffee shop for sale near LULU,"Muscat, Ruwi",Running Coffee shop for sale near LULU
"35,000 OMR",1 m2 3 Bedrooms Townhouse for Sale in Al Batinah Shinas,"Al Batinah, Shinas",1 m2 3 Bedrooms Townhouse for Sale in Al Batinah Shinas
"30,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"54,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"300,000 OMR",807 m2 5 Bedrooms Villa for Sale in Muscat Ansab,"Muscat, Ansab",807 m2 5 Bedrooms Villa for Sale in Muscat Ansab
"400,000 OMR",300 m2 4 Bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",300 m2 4 Bedrooms Villa for Sale in Muscat Al Mouj
"33,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"43,000 OMR",108 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",108 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"14,900 OMR",Residential Land for Sale in Muscat Halban,"Muscat, Halban",Residential Land for Sale in Muscat Halban
"72,000 OMR",265 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",265 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"30,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"26,000 OMR",فرصة للبيع محل تجاري لتملك والاستثمار,"Muscat, Al Maabilah",فرصة للبيع محل تجاري لتملك والاستثمار
"65,000 OMR",300 m2 5 Bedrooms Villa for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",300 m2 5 Bedrooms Villa for Sale in Al Batinah Al Rumais
"45,000 OMR",218 m2 3 Bedrooms Townhouse for Sale in Muscat Amerat,"Muscat, Amerat",218 m2 3 Bedrooms Townhouse for Sale in Muscat Amerat
"32,000 OMR",265 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",265 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid
"20,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"12,500 OMR",75 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",75 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah
"79,800 OMR",3 Bedrooms Farms for Sale in Dhofar Mirbat,"Dhofar, Mirbat",3 Bedrooms Farms for Sale in Dhofar Mirbat
"19,000 OMR",محل للبيع في سندان الصناعيه حلبان,"Muscat, Halban",محل للبيع في سندان الصناعيه حلبان
"95,000 OMR",400 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Khoud,"Muscat, Al Khoud",400 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Khoud
"47,000 OMR",300 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",300 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"83,000 OMR",400 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",400 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"55,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"11,000 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"33,000 OMR",132 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",132 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"22,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"195,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"12,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"40,000 OMR",500 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",500 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Saham
"25,000 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"5,000 OMR",مخبز وحلويات للبيع او الاستثمار 5000,"Al Dakhiliya, Manah",مخبز وحلويات للبيع او الاستثمار 5000
"64,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"175,000 OMR",625 m2 5 Bedrooms Townhouse for Sale in Muscat Al Khoud,"Muscat, Al Khoud",625 m2 5 Bedrooms Townhouse for Sale in Muscat Al Khoud
"150,000 OMR",More than 6 bedrooms Farms for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",More than 6 bedrooms Farms for Sale in Al Batinah Al Masnaah
"5,700 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"15,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"27,000 OMR",60 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",60 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah
"170,000 OMR",600 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al-Hail,"Muscat, Al-Hail",600 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al-Hail
"18,000 OMR",111 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",111 m2 4 Bedrooms Townhouse for Sale in Al Dakhiliya Bidbid
"10,000 OMR",Residential Land for Sale in Al Batinah Shinas,"Al Batinah, Shinas",Residential Land for Sale in Al Batinah Shinas
"130,000 OMR",Commercial Land for Sale in Al Sharqiya Jalan Bani buhassan,"Al Sharqiya, Jalan Bani buhassan",Commercial Land for Sale in Al Sharqiya Jalan Bani buhassan
"39,000 OMR",616 m2 2 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",616 m2 2 Bedrooms Villa for Sale in Al Batinah Barka
"13,700 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"60,000 OMR",240 m2 3 Bedrooms Townhouse for Sale in Al Batinah Sohar,"Al Batinah, Sohar",240 m2 3 Bedrooms Townhouse for Sale in Al Batinah Sohar
"55,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"23,000 OMR",Commercial Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Commercial Land for Sale in Al Batinah Saham
"5,000 OMR",80 m2 3 Bedrooms Apartments for Sale in Al Batinah Sohar,"Al Batinah, Sohar",80 m2 3 Bedrooms Apartments for Sale in Al Batinah Sohar
"48,700 OMR",252 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",252 m2 3 Bedrooms Townhouse for Sale in Al Batinah Al Khaboura
"31,000 OMR",300 m2 4 Bedrooms Townhouse for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",300 m2 4 Bedrooms Townhouse for Sale in Buraimi Al Buraimi
"170,000 OMR",منزل دورين عبارة عن 3 شقق مستقلة ومحلين تجاريين,"Dhofar, Salala",منزل دورين عبارة عن 3 شقق مستقلة ومحلين تجاريين
"9,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"1,690 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"50,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"130,000 OMR",480 m2 More than 6 bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",480 m2 More than 6 bedrooms Villa for Sale in Muscat Seeb
"100,000 OMR",Commercial Land for Sale in Muscat Bosher,"Muscat, Bosher",Commercial Land for Sale in Muscat Bosher
"90,000 OMR",Farm Land for Sale in Muscat Amerat,"Muscat, Amerat",Farm Land for Sale in Muscat Amerat
"100,000 OMR",Commercial Land for Sale in Muscat Bosher,"Muscat, Bosher",Commercial Land for Sale in Muscat Bosher
"39,999 OMR",108 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",108 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh
"120,000 OMR",560 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",560 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh
"3,500 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"78,000 OMR",385 m2 5 Bedrooms Townhouse for Sale in Al Batinah Sohar,"Al Batinah, Sohar",385 m2 5 Bedrooms Townhouse for Sale in Al Batinah Sohar
"6,500 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"111,000 OMR",400 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",400 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"11,700 OMR",محلات البقالة للبيع في العامرات (السادسه)  Running grocery shop for sale  قابل للتفاوض للجادين,"Muscat, Amerat",محلات البقالة للبيع في العامرات (السادسه)  Running grocery shop for sale  قابل للتفاوض للجادين
"27,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"5,200 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"1,258 OMR",220 m2 3 Bedrooms Villa for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",220 m2 3 Bedrooms Villa for Sale in Al Batinah Suwaiq
"16,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"30,000 OMR",88 m2 Studio Apartments for Sale in Muscat Ansab,"Muscat, Ansab",88 m2 Studio Apartments for Sale in Muscat Ansab
"125,000 OMR",Commercial Land for Sale in Muscat Seeb,"Muscat, Seeb",Commercial Land for Sale in Muscat Seeb
"85,000 OMR",570 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",570 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Barka
"13,000 OMR",مطعم  المضغوط السعودي  مطعم جميل ومرتب يحتاج شخص. يكون فاهم في المطاعم  وموقع جميل  ومرتب  ماشاء,"Al Sharqiya, Sinaw",مطعم  المضغوط السعودي  مطعم جميل ومرتب يحتاج شخص. يكون فاهم في المطاعم  وموقع جميل  ومرتب  ماشاء
"19,000 OMR",788 m2 1 Bedroom Townhouse for Sale in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",788 m2 1 Bedroom Townhouse for Sale in Al Batinah Al Khaboura
"33,900 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"100,000 OMR",250 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",250 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"7,700 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"350,000 OMR",Mixed Use Land for Sale in Buraimi Mahdah,"Buraimi, Mahdah",Mixed Use Land for Sale in Buraimi Mahdah
"65,000 OMR",70 m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,"Muscat, Muscat Hills",70 m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills
"27,000 OMR",Farm Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Farm Land for Sale in Al Batinah Al Masnaah
"4,500 OMR",Residential Land for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",Residential Land for Sale in Al Dakhiliya Bidbid
"67,000 OMR",Apartment for sale in jebel sifah resort- شقة في منتجع جبل السيفة,"Muscat, Al-Sifah",Apartment for sale in jebel sifah resort- شقة في منتجع جبل السيفة
"80,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"93,000 OMR",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"10,000 OMR",مغسلة وكي الملابس بالبخار في الغبرة الجنوبية,"Muscat, Ghubrah",مغسلة وكي الملابس بالبخار في الغبرة الجنوبية
"40,000 OMR",2 Bedrooms Farms for Sale in Al Batinah Wadi Al Ma'awal,"Al Batinah, Wadi Al Ma'awal",2 Bedrooms Farms for Sale in Al Batinah Wadi Al Ma'awal
"63,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"8,000 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"95,000 OMR",350 m2 More than 6 bedrooms Townhouse for Sale in Muscat Seeb,"Muscat, Seeb",350 m2 More than 6 bedrooms Townhouse for Sale in Muscat Seeb
"8,000 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"42,500 OMR",223 m2 3 Bedrooms Townhouse for Sale in Al Batinah Sohar,"Al Batinah, Sohar",223 m2 3 Bedrooms Townhouse for Sale in Al Batinah Sohar
"65,000 OMR",Farm Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Farm Land for Sale in Muscat Quriyat
"5,300 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"6,200 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"15,000 OMR",للبيع: مخبز، ومقهى وجبات سريعة,"Al Dakhiliya, Nizwa",للبيع: مخبز، ومقهى وجبات سريعة
"74,000 OMR",337 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",337 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"74,000 OMR",345 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",345 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"74,000 OMR",346 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",346 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"70,000 OMR",330 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",330 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah
"19,800 OMR",Residential Land at Hay Asim  ارض سكنية في حي عاصم,"Al Batinah, Barka",Residential Land at Hay Asim  ارض سكنية في حي عاصم
"43,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"42,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"106,000 OMR",375 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",375 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"25,000 OMR",Residential Land for Sale in Al Dakhiliya Adam,"Al Dakhiliya, Adam",Residential Land for Sale in Al Dakhiliya Adam
"17,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"13,000 OMR",محل المضغوط السعودي بولاية سناو غني عن التعريف  شغال وأموره جاهزه  إيجار 800 ريال  للبيع بكامل محتوي,"Al Sharqiya, Sinaw",محل المضغوط السعودي بولاية سناو غني عن التعريف  شغال وأموره جاهزه  إيجار 800 ريال  للبيع بكامل محتوي
"165,000 OMR",4 Bedrooms Farms for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",4 Bedrooms Farms for Sale in Al Batinah Al Masnaah
"13,500 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"116,000 OMR",128 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",128 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"150,000 OMR",3 Bedrooms Farms for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",3 Bedrooms Farms for Sale in Al Batinah Suwaiq
"37,200 OMR",Luxurious fully furnished 1BHK in Qurum with 9% ROI,"Muscat, Qurm",Luxurious fully furnished 1BHK in Qurum with 9% ROI
"12,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"16,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"60,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"27,000 OMR",145 m2 1 Bedroom Villa for Sale in Dhofar Salala,"Dhofar, Salala",145 m2 1 Bedroom Villa for Sale in Dhofar Salala
"1,300 OMR",42 m2 1 Bedroom Townhouse for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",42 m2 1 Bedroom Townhouse for Sale in Al Dhahirah Ibri
"142,000 OMR",For Sale: Brand-New 5-Bedroom Villa with Garage – Shared Plot in Al Ansab  REF SS3002,"Muscat, Ansab",For Sale: Brand-New 5-Bedroom Villa with Garage – Shared Plot in Al Ansab  REF SS3002
"30,000 OMR",Residential Land for Sale in Al Sharqiya Sur,"Al Sharqiya, Sur",Residential Land for Sale in Al Sharqiya Sur
"38,000 OMR",242 m2 3 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",242 m2 3 Bedrooms Townhouse for Sale in Al Batinah Suwaiq
"98,000 OMR",For Sale: Affordable 6-Bedroom Villa with 7 Bathrooms – Al Maabilah 8  REF HO3015,"Muscat, Al Maabilah",For Sale: Affordable 6-Bedroom Villa with 7 Bathrooms – Al Maabilah 8  REF HO3015
"100,000 OMR",For Sale: Spacious 6-Bedroom Villa Ideal for Families – Al Maabilah 8  REF HO3014,"Muscat, Al Maabilah",For Sale: Spacious 6-Bedroom Villa Ideal for Families – Al Maabilah 8  REF HO3014
"95,000 OMR",321 m2 5 Bedrooms Villa for Sale in Muscat Ansab,"Muscat, Ansab",321 m2 5 Bedrooms Villa for Sale in Muscat Ansab
